set	tool	file	present	n_rows	n_cols	columns	note	n_unique_ids	n_matched_to_metadata	n_nan_predictions
set_A_v2		metadata.tsv	True	1000.0	9.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,target_completeness				
set_A_v2		labels.npy	True	1000.0	2.0	completeness,contamination	max|labels-metadata| = 3.81e-06			
set_A_v2	magicc_v5	magicc_v5_predictions.tsv	True	1000.0	13.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,target_completeness,pred_completeness,pred_contamination,wall_clock_s,n_threads	embedded truth agrees with metadata (max |diff| = 0.00e+00)	1000.0	1000.0	0.0
set_A_v2	magicc_v4	magicc_v4_predictions.tsv	True	1000.0	3.0	genome_name,pred_completeness,pred_contamination	no embedded truth columns - joined on genome id	1000.0	1000.0	0.0
set_A_v2	magicc_v3	magicc_predictions.tsv	True	1000.0	13.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,target_completeness,pred_completeness,pred_contamination,wall_clock_s,n_threads	embedded truth agrees with metadata (max |diff| = 0.00e+00)	1000.0	1000.0	0.0
set_A_v2	checkm2	checkm2_predictions.tsv	True	1000.0	12.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,pred_completeness,pred_contamination,wall_clock_s,n_threads	embedded truth agrees with metadata (max |diff| = 0.00e+00)	1000.0	1000.0	0.0
set_A_v2	cocopye	cocopye_predictions.tsv	True	1000.0	13.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,target_completeness,pred_completeness,pred_contamination,wall_clock_s,n_threads	embedded truth agrees with metadata (max |diff| = 0.00e+00)	1000.0	1000.0	0.0
set_A_v2	deepcheck	deepcheck_predictions.tsv	True	1000.0	13.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,target_completeness,pred_completeness,pred_contamination,wall_clock_s,n_threads	embedded truth agrees with metadata (max |diff| = 0.00e+00)	1000.0	1000.0	0.0
set_B_v2		metadata.tsv	True	1000.0	9.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,target_contamination				
set_B_v2		labels.npy	True	1000.0	2.0	completeness,contamination	max|labels-metadata| = 3.81e-06			
set_B_v2	magicc_v5	magicc_v5_predictions.tsv	True	1000.0	13.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,target_contamination,pred_completeness,pred_contamination,wall_clock_s,n_threads	embedded truth agrees with metadata (max |diff| = 3.55e-15)	1000.0	1000.0	0.0
set_B_v2	magicc_v4	magicc_v4_predictions.tsv	True	1000.0	3.0	genome_name,pred_completeness,pred_contamination	no embedded truth columns - joined on genome id	1000.0	1000.0	0.0
set_B_v2	magicc_v3	magicc_predictions.tsv	True	1000.0	13.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,target_contamination,pred_completeness,pred_contamination,wall_clock_s,n_threads	embedded truth agrees with metadata (max |diff| = 3.55e-15)	1000.0	1000.0	0.0
set_B_v2	checkm2	checkm2_predictions.tsv	True	1000.0	12.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,pred_completeness,pred_contamination,wall_clock_s,n_threads	embedded truth agrees with metadata (max |diff| = 3.55e-15)	1000.0	1000.0	0.0
set_B_v2	cocopye	cocopye_predictions.tsv	True	1000.0	13.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,target_contamination,pred_completeness,pred_contamination,wall_clock_s,n_threads	embedded truth agrees with metadata (max |diff| = 3.55e-15)	1000.0	1000.0	0.0
set_B_v2	deepcheck	deepcheck_predictions.tsv	True	1000.0	13.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,target_contamination,pred_completeness,pred_contamination,wall_clock_s,n_threads	embedded truth agrees with metadata (max |diff| = 3.55e-15)	1000.0	1000.0	0.0
set_C		metadata.tsv	True	1000.0	8.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length				
set_C		labels.npy	True	1000.0	2.0	completeness,contamination	max|labels-metadata| = 3.81e-06			
set_C	magicc_v5	magicc_v5_predictions.tsv	True	1000.0	12.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,pred_completeness,pred_contamination,wall_clock_s,n_threads	embedded truth agrees with metadata (max |diff| = 3.55e-15)	1000.0	1000.0	0.0
set_C	magicc_v4	magicc_v4_predictions.tsv	True	1000.0	3.0	genome_name,pred_completeness,pred_contamination	no embedded truth columns - joined on genome id	1000.0	1000.0	0.0
set_C	magicc_v3	magicc_predictions.tsv	True	1000.0	12.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,pred_completeness,pred_contamination,wall_clock_s,n_threads	embedded truth agrees with metadata (max |diff| = 3.55e-15)	1000.0	1000.0	0.0
set_C	checkm2	checkm2_predictions.tsv	True	1000.0	12.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,pred_completeness,pred_contamination,wall_clock_s,n_threads	embedded truth agrees with metadata (max |diff| = 3.55e-15)	1000.0	1000.0	0.0
set_C	cocopye	cocopye_predictions.tsv	True	1000.0	12.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,pred_completeness,pred_contamination,wall_clock_s,n_threads	embedded truth agrees with metadata (max |diff| = 3.55e-15)	1000.0	1000.0	0.0
set_C	deepcheck	deepcheck_predictions.tsv	True	1000.0	12.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,pred_completeness,pred_contamination,wall_clock_s,n_threads	embedded truth agrees with metadata (max |diff| = 3.55e-15)	1000.0	1000.0	0.0
set_D		metadata.tsv	True	1000.0	8.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length				
set_D		labels.npy	True	1000.0	2.0	completeness,contamination	max|labels-metadata| = 3.81e-06			
set_D	magicc_v5	magicc_v5_predictions.tsv	True	1000.0	12.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,pred_completeness,pred_contamination,wall_clock_s,n_threads	embedded truth agrees with metadata (max |diff| = 3.55e-15)	1000.0	1000.0	0.0
set_D	magicc_v4	magicc_v4_predictions.tsv	True	1000.0	3.0	genome_name,pred_completeness,pred_contamination	no embedded truth columns - joined on genome id	1000.0	1000.0	0.0
set_D	magicc_v3	magicc_predictions.tsv	True	1000.0	12.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,pred_completeness,pred_contamination,wall_clock_s,n_threads	embedded truth agrees with metadata (max |diff| = 3.55e-15)	1000.0	1000.0	0.0
