cohort	tool	tool_key	n	true_HQ	pred_HQ	true_MQ	pred_MQ	true_LQ	pred_LQ	class_agreement_pct	n_truly_below_5pct_cont	false_fail_5pct_n	false_fail_5pct_rate	n_truly_below_10pct_cont	false_fail_10pct_rate	true_comp_ge90_n	pred_comp_ge90_n	comp90_recall_pct	denominator
primary_leakage_free_comp>=50	MAGICC V5	magicc	108	87	90	21	17	0	1	89.81	108	2	1.85	108	0.93	87	91	96.55	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)
primary_leakage_free_comp>=50	CheckM2 1.0.1	checkm2	108	87	61	21	32	0	15	68.52	108	23	21.3	108	0.93	87	66	73.56	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)
primary_leakage_free_comp>=50	CoCoPyE 0.5.0	cocopye	108	87	55	21	4	0	49	50.0	108	53	49.07	108	45.37	87	99	100.0	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)
primary_leakage_free_comp>=50	DeepCheck	deepcheck	108	87	59	21	33	0	16	67.59	108	15	13.89	108	0.0	87	59	67.82	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)
primary_leakage_free_comp>=50_ORF_intact	MAGICC V5	magicc	93	73	79	20	13	0	1	91.4	93	1	1.08	93	1.08	73	80	100.0	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)
primary_leakage_free_comp>=50_ORF_intact	CheckM2 1.0.1	checkm2	93	73	61	20	25	0	7	78.49	93	18	19.35	93	1.08	73	66	87.67	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)
primary_leakage_free_comp>=50_ORF_intact	CoCoPyE 0.5.0	cocopye	93	73	55	20	4	0	34	58.06	93	38	40.86	93	36.56	73	85	100.0	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)
primary_leakage_free_comp>=50_ORF_intact	DeepCheck	deepcheck	93	73	59	20	28	0	6	78.49	93	11	11.83	93	0.0	73	59	80.82	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)
all_MOCK1_comp>=50	MAGICC V5	magicc	308	240	236	68	64	0	8	89.61	307	21	6.84	308	2.6	241	244	95.85	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)
all_MOCK1_comp>=50	CheckM2 1.0.1	checkm2	308	240	161	68	102	0	45	64.61	307	37	12.05	308	0.32	241	170	69.29	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)
all_MOCK1_comp>=50	CoCoPyE 0.5.0	cocopye	308	240	145	68	24	0	139	47.73	307	158	51.47	308	45.13	241	259	96.68	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)
all_MOCK1_comp>=50	DeepCheck	deepcheck	308	240	161	68	94	0	53	63.64	307	37	12.05	308	0.97	241	161	66.39	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)
all_MOCK1_comp>=50_ORF_intact	MAGICC V5	magicc	269	209	208	60	54	0	7	89.96	269	16	5.95	269	2.6	209	216	97.13	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)
all_MOCK1_comp>=50_ORF_intact	CheckM2 1.0.1	checkm2	269	209	161	60	87	0	21	73.23	269	29	10.78	269	0.37	209	170	79.9	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)
all_MOCK1_comp>=50_ORF_intact	CoCoPyE 0.5.0	cocopye	269	209	145	60	24	0	100	54.65	269	120	44.61	269	37.17	209	228	96.65	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)
all_MOCK1_comp>=50_ORF_intact	DeepCheck	deepcheck	269	209	161	60	85	0	23	72.86	269	23	8.55	269	0.0	209	161	76.56	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)
ORF_compromised_assembly_only	MAGICC V5	magicc	39	31	28	8	10	0	1	87.18	38	5	13.16	39	2.56	32	28	87.5	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)
ORF_compromised_assembly_only	CheckM2 1.0.1	checkm2	39	31	0	8	15	0	24	5.13	38	8	21.05	39	0.0	32	0	0.0	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)
ORF_compromised_assembly_only	CoCoPyE 0.5.0	cocopye	39	31	0	8	0	0	39	0.0	38	38	100.0	39	100.0	32	31	96.88	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)
